date,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,LeapYear
2015-06-01,1,-2.22044604925031e-16,-1,-2.22044604925031e-16,-2.22044604925031e-16,-2.22044604925031e-16,1.06581410364015e-14
2015-07-01,0,0,1,1,1,0,-7.105427357601e-15
2015-08-01,0,-1,-1,-1,-1,0,-7.105427357601e-15
2015-09-01,0,1,1,0,0,0,3.5527136788005e-15
2015-10-01,0,0,0,1,1,1,-7.105427357601e-15
2015-11-01,0.571428571428571,-0.714285714285714,-1.71428571428571,-0.714285714285714,-0.714285714285714,-0.714285714285714,7.105427357601e-15
2015-12-01,-8.88178419700125e-16,1,1,-1,-1,-1,-1.06581410364015e-14
2016-01-01,-1,-1,-1,-1,-1,-2.22044604925031e-16,7.105427357601e-15
2016-02-01,1,0,0,0,0,0,0.750000000000004
2016-03-01,-2.28887299576473,-0.492052139831951,-0.492052139831951,-0.492052139831951,-2.18728342373112,-1.49205213983195,-7.105427357601e-15
2016-04-01,2.28887299576473,1.49205213983195,1.49205213983195,1.49205213983195,3.18728342373112,2.49205213983195,3.5527136788005e-15
2016-05-01,1.57142857142857,1.28571428571429,-0.714285714285714,0.285714285714286,0.285714285714286,0.285714285714286,1.06581410364015e-14
2016-06-01,-2.22044604925031e-16,-2.22044604925031e-16,1,-2.22044604925031e-16,-1,-2.22044604925031e-16,1.06581410364015e-14
2016-07-01,-1,-1,-1,-1,0,0,-7.105427357601e-15
2016-08-01,1,1,1,0,0,0,-7.105427357601e-15
2016-09-01,0,0,0,1,1,0,3.5527136788005e-15
2016-10-01,0,-1,-1,-1,-1,0,-7.105427357601e-15
2016-11-01,0.571428571428571,1.28571428571429,1.28571428571429,0.285714285714286,-0.714285714285714,0.285714285714286,7.105427357601e-15
2016-12-01,-8.88178419700125e-16,1,1,2,2,-8.88178419700125e-16,-1.06581410364015e-14
2017-01-01,1,1,-2.22044604925031e-16,-2.22044604925031e-16,-2.22044604925031e-16,-2.22044604925031e-16,7.105427357601e-15
2017-02-01,0,0,0,0,0,0,-0.249999999999996
2017-03-01,0.711127004235269,0.507947860168049,1.50794786016805,1.50794786016805,1.81271657626888,0.507947860168049,-7.105427357601e-15
2017-04-01,-1.71112700423527,-1.50794786016805,-1.50794786016805,-1.50794786016805,-1.81271657626888,-0.507947860168049,3.5527136788005e-15
2017-05-01,0.571428571428571,1.28571428571429,1.28571428571429,-0.714285714285714,0.285714285714286,0.285714285714286,1.06581410364015e-14
2017-06-01,-2.22044604925031e-16,-2.22044604925031e-16,-2.22044604925031e-16,1,-2.22044604925031e-16,-1,1.06581410364015e-14
2017-07-01,0,-1,-1,-1,-1,0,-7.105427357601e-15
2017-08-01,0,1,1,1,0,0,-7.105427357601e-15
2017-09-01,0,0,0,0,1,1,3.5527136788005e-15
2017-10-01,0,0,-1,-1,-1,-1,-7.105427357601e-15
2017-11-01,-1.42857142857143,-0.714285714285714,0.285714285714286,0.285714285714286,-0.714285714285714,-1.71428571428571,7.105427357601e-15
2017-12-01,-8.88178419700125e-16,-8.88178419700125e-16,1,1,2,2,-1.06581410364015e-14
2018-01-01,-2.22044604925031e-16,1,1,-2.22044604925031e-16,-2.22044604925031e-16,-2.22044604925031e-16,7.105427357601e-15
2018-02-01,0,0,0,0,0,0,-0.249999999999996
2018-03-01,-0.288872995764731,-0.492052139831951,-0.492052139831951,0.507947860168049,-0.187283423731122,0.507947860168049,-7.105427357601e-15
2018-04-01,0.288872995764731,-0.507947860168049,-0.507947860168049,-0.507947860168049,0.187283423731121,-0.507947860168049,3.5527136788005e-15
